Product name ,Component ,Unsaturated polyester,Cobalt Ethylhexanoate,Fumed Silica,Maleic anhydride,Styrene,Glass,Sizing,Binder,Water,Antimony Trioxide,Cobalt Octoate,Dibromo Neopentyl Glycol,Methyl Ethyl Ketone Peroxide,Dimethyl Phthalate,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Hydrogen Peroxide,Methyl Ethyl Ketone,Woven Continuous Filament Glass Fiber,Epoxy Resin,Ammonium polyphosphate,Bisphenol A diglycidyl ether,"Poly, alpha, omega"
Glass Fiber Reinforced Concrete (GFRP),Gelcoat,61.8-54.8%,<0.2%,2-4%,<1%,35-40%,,,,,,,,,,,,,,,,,
Glass Fiber Reinforced Concrete (GFRP),Glass fiber,,,,,,88.5-99.55%,0.1-1%,3.65-4.2%,0.1-11.5%,,,,,,,,,,,,,
Glass Fiber Reinforced Concrete (GFRP),UP Resin,70.6-75.6%,,,<0.2%,20-25%,,,,,2-4%,<0.2%,<2%,,,,,,,,,,
Glass Fiber Reinforced Concrete (GFRP),Polyester catalyst,,,,,,,,,1%,,,,34%,43%,20%,1%,2%,,,,,
Carbon Fiber Reinforced Concrete (CFRP),Epoxy Intumescent film,,,,,,,,,,,,,,,,,,,,<55%,<41.5%,<4%
Carbon Fiber Reinforced Concrete (CFRP),Twill finish carbon layer Impregnated with epoxy,,,,,,,,,,,,,,,,,,35-60%,25-50%,,,
Carbon Fiber Reinforced Concrete (CFRP),EPFR-609 prepreg 400mg Impregnated with epoxy,,,,,,,,,,,,,,,,,,35-60%,25-50%,,,
Carbon Fiber Reinforced Concrete (CFRP),150g glue film,,,,,,,,,,,,,,,,,,,,,,
Carbon Fiber Reinforced Concrete (CFRP),PET recycled core material - 60 Kg/m3,,,,,,,,,,,,,,,,,,,,,,
Carbon Fiber Reinforced Concrete (CFRP),Carbon pultrusion 200 x 5,,,,,,,,,,,,,,,,,,,,,,
Carbon Fiber Reinforced Concrete (CFRP),dry carbon fiber +/- 4- 400 gsm,,,,,,,,,,,,,,,,,,,,,,
Carbon Fiber Reinforced Concrete (CFRP),Epoxy resin,,,,,,,,,,,,,,,,,,,,,,
Carbon Fiber Reinforced Concrete (CFRP),Epoxy adhesive,,,,,,,,,,,,,,,,,,,,,,
